upstream,mirror_name,tier,public_body,ownership_confidence,default_branch,upstream_archived,size_kb,clone_url,web_url,first_seen,last_seen,last_synced,synced_pushed_at,upstream_pushed_at,status,lfs,fidelity_notes,evidence_url
IrishMarineInstitute/node-red-fluorometer,IrishMarineInstitute.node-red-fluorometer,core,Marine Institute,high,master,false,0,https://github.com/IrishMarineInstitute/node-red-fluorometer.git,https://github.com/IrishMarineInstitute/node-red-fluorometer,2026-08-11,2026-09-04,2026-08-26,2020-04-17T14:25:55Z,2020-04-17T14:25:55Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/notebooks,IrishMarineInstitute.notebooks,core,Marine Institute,high,master,false,41,https://github.com/IrishMarineInstitute/notebooks.git,https://github.com/IrishMarineInstitute/notebooks,2026-08-11,2026-09-04,2026-08-26,2016-07-19T14:04:26Z,2016-07-19T14:04:26Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/oceanmodeltoolbox,IrishMarineInstitute.oceanmodeltoolbox,core,Marine Institute,high,master,false,69373,https://github.com/IrishMarineInstitute/oceanmodeltoolbox.git,https://github.com/IrishMarineInstitute/oceanmodeltoolbox,2026-08-11,2026-09-04,2026-08-27,2020-02-24T14:16:37Z,2020-02-24T14:16:37Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/OGI_MIPilot,IrishMarineInstitute.OGI_MIPilot,core,Marine Institute,high,master,false,5916,https://github.com/IrishMarineInstitute/OGI_MIPilot.git,https://github.com/IrishMarineInstitute/OGI_MIPilot,2026-08-11,2026-09-04,2026-08-27,2024-10-23T09:46:57Z,2024-10-23T09:46:57Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/om,IrishMarineInstitute.om,core,Marine Institute,high,master,false,144,https://github.com/IrishMarineInstitute/om.git,https://github.com/IrishMarineInstitute/om,2026-08-11,2026-09-04,2026-08-26,2015-10-16T14:09:41Z,2015-10-16T14:09:41Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/particulate,IrishMarineInstitute.particulate,core,Marine Institute,high,master,false,1229,https://github.com/IrishMarineInstitute/particulate.git,https://github.com/IrishMarineInstitute/particulate,2026-08-11,2026-09-04,2026-08-26,2019-01-22T16:23:26Z,2019-01-22T16:23:26Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/pd0-parser,IrishMarineInstitute.pd0-parser,core,Marine Institute,high,master,false,1354,https://github.com/IrishMarineInstitute/pd0-parser.git,https://github.com/IrishMarineInstitute/pd0-parser,2026-08-11,2026-09-04,2026-08-26,2021-07-30T10:48:23Z,2021-07-30T10:48:23Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/pipeline-sql-es,IrishMarineInstitute.pipeline-sql-es,core,Marine Institute,high,master,false,26013,https://github.com/IrishMarineInstitute/pipeline-sql-es.git,https://github.com/IrishMarineInstitute/pipeline-sql-es,2026-08-11,2026-09-04,2026-08-27,2026-07-24T19:57:00Z,2026-09-01T22:23:59Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/published-data-sets,IrishMarineInstitute.published-data-sets,core,Marine Institute,high,master,false,28973,https://github.com/IrishMarineInstitute/published-data-sets.git,https://github.com/IrishMarineInstitute/published-data-sets,2026-08-11,2026-09-04,2026-08-27,2018-11-21T09:18:59Z,2018-11-21T09:18:59Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/qartod-automated-qc,IrishMarineInstitute.qartod-automated-qc,core,Marine Institute,high,main,false,254,https://github.com/IrishMarineInstitute/qartod-automated-qc.git,https://github.com/IrishMarineInstitute/qartod-automated-qc,2026-08-11,2026-09-04,2026-08-26,2021-03-11T18:25:20Z,2021-03-11T18:25:20Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
